serial_no,event_id,event_name,event_type,event_theme,event_description,start_datetime,end_datetime,timezone,delivery_mode,location_venue,location_city,location_state,location_country,organizer_unit,organizer_contact_email,capacity,rsvp_required,registrations_count,attendees_count,feedback_score_avg
257,9289fb16-487f-404d-8090-06118943bf79,Panel 0257 • Product & Project Management,Panel,Product & Project Management,Join us for a panel on Product & Project Management.,07/26/2021 18:00,07/26/2021 20:00,America/New_York,Hybrid,Data Science Hub,Seattle,WA,USA,Data Science Institute,dsi@slu.edu,246,1,110,87,4.85
258,1f0e81c9-2c61-43c0-8d32-ad7574fee24b,Hackathon 0258 • AI & Data Analytics Careers,Hackathon,AI & Data Analytics Careers,Join us for a hackathon on AI & Data Analytics Careers.,11/16/2021 10:00,11/16/2021 18:00,America/Chicago,In-person,Chaifetz Arena,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,105,1,98,73,4.2
259,bbfc31e5-4cea-49eb-92dc-e90d8d438606,Career Fair 0259 • Resume & Interview Mastery,Career Fair,Resume & Interview Mastery,Join us for a career fair on Resume & Interview Mastery.,07/09/2022 10:00,07/09/2022 16:00,America/Los_Angeles,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Career Services,careerservices@slu.edu,1332,0,860,717,3.63
260,465876ee-fedd-484b-8f66-e047a38d9a10,Webinar 0260 • Cloud & DevOps Pathways,Webinar,Cloud & DevOps Pathways,Join us for a webinar on Cloud & DevOps Pathways.,02/11/2023 10:00,02/11/2023 11:00,America/Chicago,Hybrid,Global Webinar Room,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,442,1,318,215,4.75
261,a9c5d375-7083-4f8b-a1e2-ba2ff23d0bb0,Networking Night 0261 • Graduate School Pathways,Networking Night,Graduate School Pathways,Join us for a networking night on Graduate School Pathways.,02/05/2026 10:00,02/05/2026 13:00,America/Chicago,Hybrid,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,141,1,48,43,3.61
262,e327c90e-223f-4e44-9884-4d458d88f461,Workshop 0262 • Tech for Good,Workshop,Tech for Good,Join us for a workshop on Tech for Good.,05/20/2022 14:00,05/20/2022 15:00,America/Los_Angeles,Virtual,Virtual Stage,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,139,1,70,63,4.75
263,5e4f06a2-e1ed-4b24-9f22-fb022afcb5bc,Networking Night 0263 • Entrepreneurship,Networking Night,Entrepreneurship,Join us for a networking night on Entrepreneurship.,12/02/2020 18:00,12/02/2020 21:00,America/Los_Angeles,Virtual,Tech Innovation Lab,Austin,TX,USA,Data Science Institute,dsi@slu.edu,169,0,150,142,3.6
264,b1dcf6d4-5580-4875-b02d-cd922dcb6f00,Networking Night 0264 • Graduate School Pathways,Networking Night,Graduate School Pathways,Join us for a networking night on Graduate School Pathways.,08/19/2024 10:00,08/19/2024 11:00,America/Los_Angeles,Hybrid,Tech Innovation Lab,Austin,TX,USA,Cybersecurity Center,cybercenter@slu.edu,354,1,325,294,3.82
265,72008fab-a27d-4d61-aa65-d0c834e6ff75,Meetup 0265 • Cybersecurity Trends,Meetup,Cybersecurity Trends,Join us for a meetup on Cybersecurity Trends.,02/20/2026 14:00,02/20/2026 17:00,America/Los_Angeles,Virtual,Virtual Stage,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,235,1,174,104,4.19
266,fda20251-8947-4a2a-aaee-cda792175903,Networking Night 0266 • Cloud & DevOps Pathways,Networking Night,Cloud & DevOps Pathways,Join us for a networking night on Cloud & DevOps Pathways.,03/13/2021 18:00,03/14/2021 02:00,America/Los_Angeles,Hybrid,Virtual Stage,Online,NA,USA,Career Services,careerservices@slu.edu,100,1,66,58,4.54
267,107435ca-a998-4dd2-a453-99864b022184,Networking Night 0267 • Networking with Employers,Networking Night,Networking with Employers,Join us for a networking night on Networking with Employers.,12/18/2020 10:00,12/18/2020 13:00,America/Chicago,In-person,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,373,1,259,199,3.64
268,436c807d-9868-454e-98f0-e278dfae9400,Networking Night 0268 • Product & Project Management,Networking Night,Product & Project Management,Join us for a networking night on Product & Project Management.,06/08/2024 10:00,06/08/2024 12:00,America/Chicago,In-person,Tech Innovation Lab,Austin,TX,USA,Chaifetz School of Business,chaifetz-events@slu.edu,363,1,283,251,4.03
269,ee8b2e74-17a8-4b82-8b3b-c08a58823ee4,Panel 0269 • Cybersecurity Trends,Panel,Cybersecurity Trends,Join us for a panel on Cybersecurity Trends.,03/07/2021 14:00,03/07/2021 22:00,America/New_York,Virtual,Tech Innovation Lab,Austin,TX,USA,School of Science & Engineering,sse-events@slu.edu,106,1,61,60,4.17
270,e8e9bf36-885f-4646-8892-4ff23ee5ea79,Workshop 0270 • Cybersecurity Trends,Workshop,Cybersecurity Trends,Join us for a workshop on Cybersecurity Trends.,01/21/2025 10:00,01/21/2025 11:00,America/Los_Angeles,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,115,1,56,43,4.73
271,c54b2a5a-5544-49ec-bcdf-96262554d3d3,Meetup 0271 • Cybersecurity Trends,Meetup,Cybersecurity Trends,Join us for a meetup on Cybersecurity Trends.,01/11/2024 18:00,01/11/2024 21:00,America/Chicago,Virtual,Career Services Hall,Chicago,IL,USA,School of Science & Engineering,sse-events@slu.edu,223,1,167,132,4.06
272,3ea42516-48e2-4173-b86f-e887262f3dea,Panel 0272 • AI & Data Analytics Careers,Panel,AI & Data Analytics Careers,Join us for a panel on AI & Data Analytics Careers.,04/27/2023 14:00,04/27/2023 15:00,America/Los_Angeles,Virtual,Career Services Hall,Chicago,IL,USA,Chaifetz School of Business,chaifetz-events@slu.edu,216,1,166,164,3.81
273,e472ddd5-4126-43c9-bc3f-9f98b0e0ed0a,Networking Night 0273 • Product & Project Management,Networking Night,Product & Project Management,Join us for a networking night on Product & Project Management.,08/19/2022 10:00,08/19/2022 14:00,America/New_York,In-person,Alumni Center,Boston,MA,USA,Cybersecurity Center,cybercenter@slu.edu,326,0,208,136,4.83
274,42277412-1867-44f2-bf9a-1f63d1592dcf,Networking Night 0274 • Resume & Interview Mastery,Networking Night,Resume & Interview Mastery,Join us for a networking night on Resume & Interview Mastery.,10/12/2021 10:00,10/12/2021 18:00,America/Chicago,In-person,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,105,0,45,43,4.26
275,e2da2a07-a12b-4422-9534-040a2ce88041,Workshop 0275 • AI & Data Analytics Careers,Workshop,AI & Data Analytics Careers,Join us for a workshop on AI & Data Analytics Careers.,05/08/2025 18:00,05/09/2025 02:00,America/New_York,In-person,Data Science Hub,Seattle,WA,USA,School of Science & Engineering,sse-events@slu.edu,184,1,70,51,4.94
276,dfcdf6f6-aab2-4799-bd0c-19d151e71997,Panel 0276 • Consulting Case Prep,Panel,Consulting Case Prep,Join us for a panel on Consulting Case Prep.,01/23/2026 14:00,01/23/2026 17:00,America/New_York,In-person,Busch Student Center,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,147,1,44,36,3.87
277,cab02b8e-a9cc-4c4b-bc53-2d9d1d450fa8,Guest Lecture 0277 • Entrepreneurship,Guest Lecture,Entrepreneurship,Join us for a guest lecture on Entrepreneurship.,01/30/2021 14:00,01/30/2021 16:00,America/New_York,In-person,Alumni Center,Boston,MA,USA,Data Science Institute,dsi@slu.edu,97,1,92,84,4.15
278,7246c7c5-9cf3-4a0a-8c77-3d05eef9b4d5,Guest Lecture 0278 • Graduate School Pathways,Guest Lecture,Graduate School Pathways,Join us for a guest lecture on Graduate School Pathways.,07/23/2026 10:00,07/23/2026 16:00,America/New_York,Virtual,Global Webinar Room,Online,NA,USA,Alumni Office,alumni@slu.edu,177,1,60,51,3.79
279,1a3af390-0351-42ec-b646-e194344cbc6a,Meetup 0279 • Product & Project Management,Meetup,Product & Project Management,Join us for a meetup on Product & Project Management.,06/25/2022 10:00,06/25/2022 12:00,America/Chicago,Hybrid,Tech Innovation Lab,Austin,TX,USA,School of Science & Engineering,sse-events@slu.edu,241,1,230,227,4.56
280,3138fce8-088e-4dc3-98ec-ab6bb5efa26b,Networking Night 0280 • Consulting Case Prep,Networking Night,Consulting Case Prep,Join us for a networking night on Consulting Case Prep.,01/13/2025 10:00,01/13/2025 18:00,America/Los_Angeles,Virtual,Chaifetz Arena,St. Louis,MO,USA,Career Services,careerservices@slu.edu,245,1,129,87,3.85
281,f8989004-10a1-4924-87ed-d8275fe76131,Meetup 0281 • Cloud & DevOps Pathways,Meetup,Cloud & DevOps Pathways,Join us for a meetup on Cloud & DevOps Pathways.,06/03/2020 18:00,06/04/2020 02:00,America/Los_Angeles,In-person,Global Webinar Room,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,195,1,190,183,3.83
282,3047dad1-31e9-4476-8177-6016ad660a98,Workshop 0282 • Resume & Interview Mastery,Workshop,Resume & Interview Mastery,Join us for a workshop on Resume & Interview Mastery.,04/23/2021 14:00,04/23/2021 15:00,America/New_York,Virtual,Busch Student Center,St. Louis,MO,USA,Career Services,careerservices@slu.edu,77,1,23,17,4.26
283,7f1e6713-4176-41e7-9dae-51bd387bd329,Meetup 0283 • Consulting Case Prep,Meetup,Consulting Case Prep,Join us for a meetup on Consulting Case Prep.,05/02/2024 14:00,05/02/2024 20:00,America/Los_Angeles,Hybrid,Tech Innovation Lab,Austin,TX,USA,Alumni Office,alumni@slu.edu,241,1,204,199,4.12
284,aead7b6a-694f-416b-b37c-f59009e27f54,Webinar 0284 • AI & Data Analytics Careers,Webinar,AI & Data Analytics Careers,Join us for a webinar on AI & Data Analytics Careers.,12/23/2026 10:00,12/23/2026 11:00,America/Los_Angeles,In-person,Chaifetz Arena,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,491,1,303,265,4.57
285,bfa52e23-8edd-4c73-a557-fbf9fccca978,Meetup 0285 • Resume & Interview Mastery,Meetup,Resume & Interview Mastery,Join us for a meetup on Resume & Interview Mastery.,10/17/2025 10:00,10/17/2025 13:00,America/Chicago,Hybrid,Chaifetz Arena,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,86,1,67,51,4.84
286,5b63649a-6ae7-4032-8d53-07c8544e16a6,Hackathon 0286 • Tech for Good,Hackathon,Tech for Good,Join us for a hackathon on Tech for Good.,09/17/2025 18:00,09/18/2025 02:00,America/Chicago,In-person,Chaifetz Arena,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,222,1,218,150,3.71
287,f0f586b4-447b-4dc6-9a8b-56159aea9ab0,Webinar 0287 • Cloud & DevOps Pathways,Webinar,Cloud & DevOps Pathways,Join us for a webinar on Cloud & DevOps Pathways.,05/20/2025 18:00,05/21/2025 00:00,America/New_York,Virtual,Busch Student Center,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,780,1,686,611,4.24
288,37d032df-d45b-469b-8117-4010357f52b5,Networking Night 0288 • AI & Data Analytics Careers,Networking Night,AI & Data Analytics Careers,Join us for a networking night on AI & Data Analytics Careers.,09/21/2023 14:00,09/21/2023 15:00,America/Chicago,In-person,Chaifetz Arena,St. Louis,MO,USA,Career Services,careerservices@slu.edu,354,0,311,282,4.57
289,dd7621cc-c934-43d1-8f3e-3532bba23d2b,Networking Night 0289 • Entrepreneurship,Networking Night,Entrepreneurship,Join us for a networking night on Entrepreneurship.,01/17/2020 14:00,01/17/2020 20:00,America/New_York,In-person,Chaifetz Arena,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,201,0,145,104,4.23
290,103111e5-364b-4044-b1a1-686d2eb37a6f,Meetup 0290 • Product & Project Management,Meetup,Product & Project Management,Join us for a meetup on Product & Project Management.,10/25/2024 18:00,10/25/2024 19:00,America/New_York,Virtual,Tech Innovation Lab,Austin,TX,USA,Data Science Institute,dsi@slu.edu,209,1,189,127,4.71
291,2567eae3-2e47-4668-9e5b-655217adc10c,Career Fair 0291 • Consulting Case Prep,Career Fair,Consulting Case Prep,Join us for a career fair on Consulting Case Prep.,10/20/2021 10:00,10/20/2021 14:00,America/New_York,In-person,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,810,1,346,318,4.83
292,2a046de9-aacd-48dc-a798-fe6753478b82,Networking Night 0292 • Cloud & DevOps Pathways,Networking Night,Cloud & DevOps Pathways,Join us for a networking night on Cloud & DevOps Pathways.,06/11/2025 18:00,06/12/2025 00:00,America/Chicago,Hybrid,Alumni Center,Boston,MA,USA,Alumni Office,alumni@slu.edu,228,0,191,191,3.62
293,dd51546e-6e3f-4591-b31a-ef75afc5ec2e,Hackathon 0293 • AI & Data Analytics Careers,Hackathon,AI & Data Analytics Careers,Join us for a hackathon on AI & Data Analytics Careers.,10/06/2021 18:00,10/06/2021 19:00,America/Los_Angeles,In-person,Chaifetz Arena,St. Louis,MO,USA,Career Services,careerservices@slu.edu,201,1,124,98,3.53
294,c8524b59-44bc-4f02-b1fa-5ab28216a0da,Panel 0294 • Graduate School Pathways,Panel,Graduate School Pathways,Join us for a panel on Graduate School Pathways.,11/16/2022 14:00,11/16/2022 20:00,America/New_York,Hybrid,Busch Student Center,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,101,1,44,31,3.65
295,bdfb4a23-58bf-4b03-9b1c-10c1fbdd7edc,Workshop 0295 • Cybersecurity Trends,Workshop,Cybersecurity Trends,Join us for a workshop on Cybersecurity Trends.,01/15/2022 18:00,01/15/2022 19:00,America/Chicago,In-person,Chaifetz Arena,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,196,1,108,97,4.75
296,8d427680-dd07-4086-a873-98ad715f053e,Hackathon 0296 • Consulting Case Prep,Hackathon,Consulting Case Prep,Join us for a hackathon on Consulting Case Prep.,08/01/2020 14:00,08/01/2020 22:00,America/Los_Angeles,Virtual,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,183,1,71,63,4.03
297,d9598b21-d41a-4268-a9e2-1314842fda81,Meetup 0297 • Graduate School Pathways,Meetup,Graduate School Pathways,Join us for a meetup on Graduate School Pathways.,12/30/2026 14:00,12/30/2026 16:00,America/New_York,Hybrid,Virtual Stage,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,90,0,42,41,4.46
298,7527a463-aeff-4827-b023-56f6b96983c3,Workshop 0298 • Cloud & DevOps Pathways,Workshop,Cloud & DevOps Pathways,Join us for a workshop on Cloud & DevOps Pathways.,01/28/2026 10:00,01/28/2026 12:00,America/Chicago,In-person,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,175,1,143,114,4.46
299,a0c9f586-1ab9-4a59-8d6a-e8aab47890fc,Career Fair 0299 • Cloud & DevOps Pathways,Career Fair,Cloud & DevOps Pathways,Join us for a career fair on Cloud & DevOps Pathways.,11/22/2022 18:00,11/22/2022 21:00,America/Chicago,In-person,Career Services Hall,Chicago,IL,USA,Alumni Office,alumni@slu.edu,1300,1,895,770,3.92
300,a8823e59-3138-466b-9ba3-62464f95710d,Workshop 0300 • Networking with Employers,Workshop,Networking with Employers,Join us for a workshop on Networking with Employers.,06/20/2023 10:00,06/20/2023 13:00,America/New_York,Virtual,Global Webinar Room,Online,NA,USA,Alumni Office,alumni@slu.edu,145,1,63,41,3.63
301,3c5a1574-ba26-4873-9684-08b45d5765d1,Hackathon 0301 • Cloud & DevOps Pathways,Hackathon,Cloud & DevOps Pathways,Join us for a hackathon on Cloud & DevOps Pathways.,01/01/2022 18:00,01/02/2022 02:00,America/New_York,Virtual,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,343,1,192,148,3.86
302,b15d46f9-c997-4971-a5f3-f701856ee353,Workshop 0302 • Cloud & DevOps Pathways,Workshop,Cloud & DevOps Pathways,Join us for a workshop on Cloud & DevOps Pathways.,08/04/2021 10:00,08/04/2021 13:00,America/Chicago,In-person,Alumni Center,Boston,MA,USA,Alumni Office,alumni@slu.edu,32,1,9,5,3.77
303,f943b352-58a7-4b67-b435-d3eabb9b0679,Panel 0303 • Consulting Case Prep,Panel,Consulting Case Prep,Join us for a panel on Consulting Case Prep.,04/06/2023 18:00,04/07/2023 00:00,America/Chicago,Virtual,Tech Innovation Lab,Austin,TX,USA,Career Services,careerservices@slu.edu,99,1,97,61,3.72
304,d7a9b36f-47e5-44b9-965c-282886423a04,Webinar 0304 • Tech for Good,Webinar,Tech for Good,Join us for a webinar on Tech for Good.,12/01/2021 10:00,12/01/2021 18:00,America/Chicago,Virtual,Tech Innovation Lab,Austin,TX,USA,School of Science & Engineering,sse-events@slu.edu,556,1,412,308,3.56
305,83f68b96-5d9f-4fb0-8161-cff8e0f93feb,Meetup 0305 • Consulting Case Prep,Meetup,Consulting Case Prep,Join us for a meetup on Consulting Case Prep.,08/30/2023 10:00,08/30/2023 13:00,America/Chicago,In-person,Busch Student Center,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,123,0,48,32,4.17
306,06df8229-81f9-4bb3-a481-2b4831855402,Networking Night 0306 • Tech for Good,Networking Night,Tech for Good,Join us for a networking night on Tech for Good.,08/07/2025 14:00,08/07/2025 18:00,America/Chicago,In-person,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,185,1,105,78,4.77
307,0c2dde6b-f163-40c9-83dc-3bc54d7e3139,Career Fair 0307 • Resume & Interview Mastery,Career Fair,Resume & Interview Mastery,Join us for a career fair on Resume & Interview Mastery.,03/26/2022 10:00,03/26/2022 11:00,America/Chicago,Hybrid,Career Services Hall,Chicago,IL,USA,Chaifetz School of Business,chaifetz-events@slu.edu,1480,1,904,618,4.3
308,b638ea56-0a76-4970-87fa-933011da977e,Hackathon 0308 • Cloud & DevOps Pathways,Hackathon,Cloud & DevOps Pathways,Join us for a hackathon on Cloud & DevOps Pathways.,08/14/2022 18:00,08/14/2022 22:00,America/Los_Angeles,Virtual,Career Services Hall,Chicago,IL,USA,School of Science & Engineering,sse-events@slu.edu,148,1,79,49,4.29
309,30f6feb4-9df3-4364-bda8-43a45f8c3c13,Networking Night 0309 • Graduate School Pathways,Networking Night,Graduate School Pathways,Join us for a networking night on Graduate School Pathways.,03/11/2024 18:00,03/11/2024 20:00,America/New_York,In-person,Alumni Center,Boston,MA,USA,Alumni Office,alumni@slu.edu,179,1,151,105,4.21
310,49558d20-7e2c-45f5-b0a0-e66481eb40ff,Workshop 0310 • Graduate School Pathways,Workshop,Graduate School Pathways,Join us for a workshop on Graduate School Pathways.,11/16/2023 14:00,11/16/2023 15:00,America/Los_Angeles,In-person,Tech Innovation Lab,Austin,TX,USA,Alumni Office,alumni@slu.edu,96,1,74,49,4.77
311,79166394-ae54-4a97-935a-a127cb84d249,Career Fair 0311 • Cloud & DevOps Pathways,Career Fair,Cloud & DevOps Pathways,Join us for a career fair on Cloud & DevOps Pathways.,08/21/2022 18:00,08/22/2022 00:00,America/Los_Angeles,Hybrid,Data Science Hub,Seattle,WA,USA,Data Science Institute,dsi@slu.edu,1090,1,1025,698,4.77
312,e47028ac-3312-40b6-b5ab-de4aa6a8c47c,Guest Lecture 0312 • Product & Project Management,Guest Lecture,Product & Project Management,Join us for a guest lecture on Product & Project Management.,05/17/2020 10:00,05/17/2020 16:00,America/Los_Angeles,In-person,Alumni Center,Boston,MA,USA,Cybersecurity Center,cybercenter@slu.edu,233,1,107,67,4.19
313,2c580982-32d0-42f6-ac97-5242db49e3ff,Meetup 0313 • AI & Data Analytics Careers,Meetup,AI & Data Analytics Careers,Join us for a meetup on AI & Data Analytics Careers.,10/22/2023 10:00,10/22/2023 18:00,America/Los_Angeles,Virtual,Virtual Stage,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,198,0,111,104,4.48
314,49bce0b2-109a-4a6b-a389-8713dea49ab6,Meetup 0314 • Entrepreneurship,Meetup,Entrepreneurship,Join us for a meetup on Entrepreneurship.,08/01/2025 18:00,08/01/2025 21:00,America/Los_Angeles,Hybrid,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,162,0,146,103,3.6
315,e7eee1fe-e9ce-4940-9a82-815c553188a5,Webinar 0315 • Networking with Employers,Webinar,Networking with Employers,Join us for a webinar on Networking with Employers.,12/03/2023 10:00,12/03/2023 11:00,America/Los_Angeles,Hybrid,Busch Student Center,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,663,1,252,195,3.94
316,32e51cd5-cae5-4b15-838f-17d8cf8c9887,Panel 0316 • Graduate School Pathways,Panel,Graduate School Pathways,Join us for a panel on Graduate School Pathways.,01/13/2024 14:00,01/13/2024 16:00,America/Chicago,In-person,Alumni Center,Boston,MA,USA,Data Science Institute,dsi@slu.edu,215,1,214,175,4.83
317,2f8e4f9c-7613-47a9-8271-ea73cec7798f,Meetup 0317 • Graduate School Pathways,Meetup,Graduate School Pathways,Join us for a meetup on Graduate School Pathways.,01/08/2024 18:00,01/08/2024 21:00,America/Chicago,In-person,Alumni Center,Boston,MA,USA,Alumni Office,alumni@slu.edu,145,1,110,97,4.15
318,bd78cb34-2882-44cc-b4fa-39167935a87a,Meetup 0318 • Networking with Employers,Meetup,Networking with Employers,Join us for a meetup on Networking with Employers.,01/20/2026 18:00,01/21/2026 02:00,America/New_York,Virtual,Data Science Hub,Seattle,WA,USA,Career Services,careerservices@slu.edu,231,0,177,136,4.7
319,9ffeeb89-1130-4da0-9654-c61bbdd349e4,Guest Lecture 0319 • Cloud & DevOps Pathways,Guest Lecture,Cloud & DevOps Pathways,Join us for a guest lecture on Cloud & DevOps Pathways.,10/19/2022 18:00,10/19/2022 19:00,America/New_York,In-person,Virtual Stage,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,235,1,217,180,4.58
320,fc560410-f276-4ff0-841a-f1fab0d79d52,Workshop 0320 • Cybersecurity Trends,Workshop,Cybersecurity Trends,Join us for a workshop on Cybersecurity Trends.,06/03/2020 10:00,06/03/2020 18:00,America/Los_Angeles,Virtual,Tech Innovation Lab,Austin,TX,USA,School of Science & Engineering,sse-events@slu.edu,138,1,54,34,3.86
321,6fa8fe21-f4fc-4574-af74-0ad7d2755131,Panel 0321 • Cybersecurity Trends,Panel,Cybersecurity Trends,Join us for a panel on Cybersecurity Trends.,10/04/2024 18:00,10/04/2024 19:00,America/Los_Angeles,Virtual,Virtual Stage,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,199,1,112,67,3.91
322,556f2508-ed15-4acd-afe3-cf699bcfe07c,Meetup 0322 • Consulting Case Prep,Meetup,Consulting Case Prep,Join us for a meetup on Consulting Case Prep.,03/05/2024 18:00,03/06/2024 00:00,America/Chicago,Hybrid,Alumni Center,Boston,MA,USA,Data Science Institute,dsi@slu.edu,208,0,87,68,3.52
323,d9cc5df8-8f09-493b-9240-cba528e41f3a,Guest Lecture 0323 • AI & Data Analytics Careers,Guest Lecture,AI & Data Analytics Careers,Join us for a guest lecture on AI & Data Analytics Careers.,08/20/2021 10:00,08/20/2021 16:00,America/Los_Angeles,Hybrid,Career Services Hall,Chicago,IL,USA,Alumni Office,alumni@slu.edu,150,1,150,98,3.7
324,8509519b-243b-43b5-a1a6-ca301d839c9e,Hackathon 0324 • Resume & Interview Mastery,Hackathon,Resume & Interview Mastery,Join us for a hackathon on Resume & Interview Mastery.,01/11/2024 14:00,01/11/2024 15:00,America/Chicago,Virtual,Busch Student Center,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,203,1,142,100,4.66
325,a21ac8c8-2cf5-4d2e-aa94-d89aa3027459,Panel 0325 • Networking with Employers,Panel,Networking with Employers,Join us for a panel on Networking with Employers.,01/29/2024 14:00,01/29/2024 16:00,America/Chicago,In-person,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,90,1,59,51,3.52
326,31c0968b-d560-495f-9199-ffca5e5ac7ba,Webinar 0326 • Graduate School Pathways,Webinar,Graduate School Pathways,Join us for a webinar on Graduate School Pathways.,12/30/2024 10:00,12/30/2024 12:00,America/Los_Angeles,Hybrid,Global Webinar Room,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,795,1,452,350,4.07
327,3b628c70-fbf3-4ded-89d7-f3739ae7fcf5,Webinar 0327 • Cloud & DevOps Pathways,Webinar,Cloud & DevOps Pathways,Join us for a webinar on Cloud & DevOps Pathways.,09/06/2024 14:00,09/06/2024 17:00,America/New_York,Hybrid,Global Webinar Room,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,696,1,590,511,4.14
328,e91ddff3-07f1-45d9-9469-283ded6ce041,Guest Lecture 0328 • Product & Project Management,Guest Lecture,Product & Project Management,Join us for a guest lecture on Product & Project Management.,11/05/2024 14:00,11/05/2024 15:00,America/Los_Angeles,Hybrid,Career Services Hall,Chicago,IL,USA,Alumni Office,alumni@slu.edu,179,1,88,60,4.67
329,abef3a85-0974-456e-9acc-272663477b70,Guest Lecture 0329 • Entrepreneurship,Guest Lecture,Entrepreneurship,Join us for a guest lecture on Entrepreneurship.,04/26/2021 18:00,04/26/2021 19:00,America/New_York,Hybrid,Career Services Hall,Chicago,IL,USA,Chaifetz School of Business,chaifetz-events@slu.edu,122,1,84,78,4.59
330,ef2d7be5-26ff-42ed-ae87-7b9f9041a6a2,Workshop 0330 • Graduate School Pathways,Workshop,Graduate School Pathways,Join us for a workshop on Graduate School Pathways.,04/03/2021 10:00,04/03/2021 18:00,America/New_York,Virtual,Busch Student Center,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,168,1,125,100,4.17
331,f6ce7db9-5340-429c-8f49-3af23f935493,Webinar 0331 • Entrepreneurship,Webinar,Entrepreneurship,Join us for a webinar on Entrepreneurship.,04/28/2023 18:00,04/28/2023 21:00,America/Los_Angeles,Hybrid,Tech Innovation Lab,Austin,TX,USA,Chaifetz School of Business,chaifetz-events@slu.edu,507,1,286,265,4.37
332,2a1408ba-9bbb-411c-b09b-f779f9744e8d,Hackathon 0332 • AI & Data Analytics Careers,Hackathon,AI & Data Analytics Careers,Join us for a hackathon on AI & Data Analytics Careers.,08/20/2020 10:00,08/20/2020 14:00,America/Chicago,In-person,Chaifetz Arena,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,278,1,220,219,3.92
333,0e2cdfca-ad3e-49d6-a560-5adaa66333a4,Meetup 0333 • Graduate School Pathways,Meetup,Graduate School Pathways,Join us for a meetup on Graduate School Pathways.,01/27/2022 18:00,01/28/2022 00:00,America/Los_Angeles,Virtual,Virtual Stage,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,213,1,75,62,3.78
334,e4b8093e-33cc-4c27-ad28-7f9b6fdd2f6a,Webinar 0334 • Resume & Interview Mastery,Webinar,Resume & Interview Mastery,Join us for a webinar on Resume & Interview Mastery.,10/14/2024 14:00,10/14/2024 20:00,America/Chicago,Hybrid,Alumni Center,Boston,MA,USA,Data Science Institute,dsi@slu.edu,448,1,169,103,4.49
335,9164250f-5265-4c4f-b974-1238d10c8523,Webinar 0335 • Consulting Case Prep,Webinar,Consulting Case Prep,Join us for a webinar on Consulting Case Prep.,06/26/2022 14:00,06/26/2022 16:00,America/Chicago,Virtual,Alumni Center,Boston,MA,USA,Alumni Office,alumni@slu.edu,713,1,572,538,3.91
336,b23499bc-8950-4011-a5e6-d97d4f4ef48c,Panel 0336 • Graduate School Pathways,Panel,Graduate School Pathways,Join us for a panel on Graduate School Pathways.,09/11/2020 18:00,09/11/2020 20:00,America/Los_Angeles,Hybrid,Busch Student Center,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,154,1,131,128,4.9
