serial_no,job_id,student_id,employer_id,job_title,job_family,job_level,job_type,employment_mode,location_city,location_state,location_country,offer_date,offer_accept_date,start_date,end_date,salary_currency,salary_base_annual,visa_type,source_channel,created_at
250,64733dc5-155e-4ce1-af64-add0650625a3,36de5183-3b1e-48bf-a534-42e3f69d2237,EMP000250,Product Analyst,Product,Senior,Contract,Hybrid,Dallas,TX,USA,05/06/2024,05/19/2024,07/18/2024,08/07/2025,USD,113023.0,OPT,Career Fair,2025-10-25
251,5d706a9d-7075-48ef-a5d1-932269b3db8c,12086edc-c20a-40e1-90a0-2382f429552a,EMP000251,Security Analyst,Consulting,Senior,Contract,On-site,St. Louis,MO,USA,06/12/2022,06/13/2022,11/22/2022,11/25/2023,USD,104348.0,STEM OPT,Referral,2025-10-25
252,1496e4ac-5582-4f05-be4b-5ca2eaee8188,4db01b00-0586-4842-8d68-88a7c3b86c93,EMP000252,Product Analyst,Security,Senior,Full-time,Remote,Bengaluru,NA,India,03/30/2023,04/08/2023,08/25/2023,04/03/2025,USD,91116.0,STEM OPT,Career Fair,2025-10-25
253,1b82fc9b-80b4-4619-afcc-5a941b5938b4,472b9690-fc0a-4389-90b2-bc579eabc598,EMP000253,Cloud Engineer,Analytics,Junior,Full-time,On-site,Seattle,WA,USA,01/29/2026,02/12/2026,05/01/2026,12/31/2026,USD,87346.0,OPT,Handshake,2025-10-25
254,1107c3b2-80d6-4eb5-9bfc-f7ecddab8dc1,f82d4ed7-b6ba-476c-840c-3061e6f22f0e,EMP000254,Data Engineer,Analytics,Mid,Full-time,Hybrid,St. Louis,MO,USA,02/19/2025,02/26/2025,09/11/2025,12/31/2026,USD,125406.0,H1B,Career Fair,2025-10-25
255,b14a0068-fa7f-484b-a293-ee2a3a8995ab,408cf47a-a729-456f-bc2c-e10f875da3f9,EMP000255,Data Analyst,Engineering,Senior,Contract,Hybrid,Hyderabad,NA,India,05/19/2025,05/29/2025,08/14/2025,12/30/2026,USD,121761.0,Other,Handshake,2025-10-25
256,0645debe-2f7a-4dc3-a87f-a3cc8d5a30b8,06423ca7-a393-4fb8-9d86-92b2d3e97dc7,EMP000256,Security Analyst,Product,Senior,Full-time,Remote,Seattle,WA,USA,02/09/2023,02/21/2023,08/10/2023,04/04/2025,USD,91881.0,OPT,Handshake,2025-10-25
257,cca95c85-e1ed-4546-ad28-e7b3f6bba121,d1312732-45dc-4fad-a1b6-78f5df51c41e,EMP000257,Data Engineer,Security,Intern,Full-time,Hybrid,Hyderabad,NA,India,03/25/2023,04/08/2023,09/09/2023,06/12/2025,USD,107634.0,OPT,Direct Apply,2025-10-25
258,42af13dd-c099-499a-bef4-cff9fc91451d,62e1ca0d-6106-40a6-9f65-cf4165ea4a6a,EMP000258,Software Engineer,Consulting,Intern,Contract,Remote,Chicago,IL,USA,08/05/2024,08/13/2024,11/14/2024,12/27/2025,USD,107823.0,STEM OPT,Direct Apply,2025-10-25
259,f0a2c451-9d8c-42ae-a8f4-dfa3e246b4d6,d970a173-d23b-4187-8d66-f931eb4b5169,EMP000259,Data Engineer,Product,Junior,Full-time,On-site,Chicago,IL,USA,03/13/2023,03/20/2023,05/04/2023,10/18/2024,USD,109025.0,OPT,Career Fair,2025-10-25
260,5569af1e-73e6-4d26-ad26-71461fb5b2bf,264c6f07-8620-4653-a37f-b0bdcbaf8c18,EMP000260,Software Engineer,Security,Mid,Full-time,Hybrid,St. Louis,MO,USA,01/12/2021,01/17/2021,08/31/2021,01/13/2023,USD,119395.0,OPT,LinkedIn,2025-10-25
261,dc2ef676-d2a1-42bc-853d-2f40af4ce1b2,6b0ab95c-fe66-484a-9101-d45b17a841d8,EMP000261,Product Analyst,Analytics,Mid,Contract,Remote,St. Louis,MO,USA,05/27/2026,06/07/2026,08/04/2026,12/31/2026,USD,132540.0,H1B,Direct Apply,2025-10-25
262,bdc1c269-e70f-40e9-a07e-6e2bc1ea8cc5,b01f1cab-888f-4686-86c9-0ca1bd91496d,EMP000262,Security Analyst,Security,Intern,Full-time,On-site,Chicago,IL,USA,02/20/2025,02/22/2025,06/01/2025,10/23/2026,USD,109786.0,Citizen,Handshake,2025-10-25
263,7212b4e4-b37b-47b3-b4fc-403e4393cfc9,640a7dd5-f370-4254-8818-21701a0221f6,EMP000263,Business Analyst,Analytics,Senior,Internship,Hybrid,Seattle,WA,USA,10/21/2024,10/21/2024,05/04/2025,11/30/2026,USD,120737.0,PR,Handshake,2025-10-25
264,ed0524d1-0583-4cd8-90da-f7d4a92655f7,ef06520e-3949-4858-bd62-2597eb5a70ea,EMP000264,Software Engineer,Engineering,Intern,Full-time,Hybrid,St. Louis,MO,USA,02/17/2024,02/22/2024,08/20/2024,12/22/2025,USD,122594.0,STEM OPT,Handshake,2025-10-25
265,5d9edb83-1074-4c96-8b6a-e6f00bb59885,71348334-2035-440f-b45e-f997633754ca,EMP000265,Business Analyst,Quality,Senior,Full-time,Hybrid,New York,NY,USA,09/17/2023,09/23/2023,04/15/2024,05/16/2025,USD,106939.0,OPT,LinkedIn,2025-10-25
266,02d61703-1405-4fd6-bd74-2908fca7b3e7,760dc7a2-4af8-4649-8a92-3f5e2c9b73f3,EMP000266,Associate Consultant,Security,Intern,Internship,On-site,Austin,TX,USA,09/22/2025,09/30/2025,04/26/2026,12/31/2026,USD,90161.0,OPT,LinkedIn,2025-10-25
267,a207dce8-ffb6-47e1-ab11-2567eb8795e7,a5101496-5d9e-4c9d-8458-2ca266c6f221,EMP000267,Security Analyst,Quality,Intern,Contract,Remote,Austin,TX,USA,06/26/2022,07/10/2022,11/16/2022,07/13/2024,USD,116847.0,STEM OPT,Career Fair,2025-10-25
268,e70fa0bf-6bb8-4425-8ae2-0008087dc2a6,54f5bf57-042d-4c81-afa8-f080d9c3b81c,EMP000268,Security Analyst,Engineering,Mid,Internship,Hybrid,Dallas,TX,USA,01/02/2022,01/13/2022,08/30/2022,07/11/2024,USD,126754.0,H1B,Direct Apply,2025-10-25
269,a9bdcb9a-92ea-459e-8f11-c2a04cc18967,5cfa0679-a3d6-4fe8-a27a-075d5e74e958,EMP000269,ML Engineer,Product,Junior,Contract,Hybrid,Austin,TX,USA,03/18/2024,04/01/2024,09/03/2024,10/17/2025,USD,94607.0,OPT,Career Fair,2025-10-25
270,ee75a6d2-0c2b-450b-980b-eb051b3c17bc,2a2ed652-b6df-4b18-ada4-2bbf5de45543,EMP000270,Security Analyst,Product,Senior,Contract,Remote,Bengaluru,NA,India,02/05/2024,02/09/2024,08/05/2024,01/29/2026,USD,108103.0,STEM OPT,Handshake,2025-10-25
271,360019b2-4078-4f64-a746-ff41b9e1edd9,e5c56b85-06d4-40fa-8025-f915dd8c4944,EMP000271,Data Engineer,Product,Junior,Internship,Remote,Chicago,IL,USA,03/10/2021,03/13/2021,07/28/2021,10/27/2022,USD,101002.0,OPT,Career Fair,2025-10-25
272,9bc8bb73-73a8-48a9-86af-1003e4a57479,5904f9fa-b157-45bd-9f50-572baeb6b164,EMP000272,Security Analyst,Quality,Senior,Full-time,Remote,Dallas,TX,USA,05/16/2023,05/26/2023,11/10/2023,05/04/2025,USD,97039.0,Other,Referral,2025-10-25
273,4a03dada-68a3-436e-a8ef-3eb3da8e2e5d,9d38b7f2-c109-4654-a444-84a0ae9f0047,EMP000273,ML Engineer,Product,Junior,Contract,Hybrid,Chicago,IL,USA,08/06/2025,08/10/2025,11/01/2025,12/31/2026,USD,105125.0,Other,Handshake,2025-10-25
274,3f3c319a-c730-4d69-b2a0-17edcfef6cf5,59c40d39-7c6f-43d2-bce2-8f537004df19,EMP000274,QA Engineer,Engineering,Junior,Internship,On-site,New York,NY,USA,09/04/2026,09/04/2026,12/11/2026,12/31/2026,USD,91757.0,STEM OPT,Referral,2025-10-25
275,2efbdf02-1bcf-4f02-b038-8576e5b09550,84cd9dd9-de4d-4b26-9c40-77d3d89e4fe7,EMP000275,Software Engineer,Security,Junior,Internship,Remote,New York,NY,USA,03/21/2023,03/25/2023,08/06/2023,07/17/2025,USD,117903.0,OPT,Career Fair,2025-10-25
276,f6cd87fe-627f-458f-a29b-f0b3fc6ed28e,8a75e08b-6f88-4edd-8949-44e7e9935435,EMP000276,Associate Consultant,Security,Junior,Contract,On-site,New York,NY,USA,03/25/2021,04/02/2021,12/04/2021,01/04/2023,USD,117176.0,OPT,LinkedIn,2025-10-25
277,ab82191d-23e2-4706-b286-243bb8216a15,f50b0620-0ad3-416d-9de8-37f6626d7cd6,EMP000277,Security Analyst,Quality,Intern,Internship,Hybrid,Boston,MA,USA,07/31/2023,08/11/2023,11/02/2023,04/25/2025,USD,111591.0,OPT,Career Fair,2025-10-25
278,cf617adb-91f1-4190-8d13-53bcce74160c,0fdd82ca-644f-4216-bf34-7a4430000145,EMP000278,Software Engineer,Engineering,Junior,Internship,Hybrid,Hyderabad,NA,India,03/29/2026,04/02/2026,09/10/2026,12/31/2026,USD,110571.0,OPT,Direct Apply,2025-10-25
279,214e4fb0-5112-43b5-94e5-031e6fba1788,76070085-a90b-41e8-8cb6-0a72c71f6552,EMP000279,Security Analyst,Product,Intern,Internship,Remote,Dallas,TX,USA,01/08/2025,01/16/2025,05/15/2025,09/01/2026,USD,113301.0,OPT,Handshake,2025-10-25
280,8792586b-21df-4500-8ae3-79bc5c044622,1e083f58-41eb-4df6-9d56-d07d466baa75,EMP000280,ML Engineer,Product,Senior,Internship,On-site,Hyderabad,NA,India,06/07/2023,06/17/2023,07/16/2023,09/15/2024,USD,103470.0,STEM OPT,LinkedIn,2025-10-25
281,dd49aad2-8c59-414e-b454-506d0cb4672f,5ad53680-58ed-418a-973b-90e0d98d669c,EMP000281,Security Analyst,Analytics,Intern,Internship,Hybrid,Seattle,WA,USA,04/25/2024,05/01/2024,07/19/2024,09/22/2025,USD,106975.0,H1B,Career Fair,2025-10-25
282,5fa9ddb1-a8c1-4aec-b99d-875d25ae0a60,c6c55c2d-9350-4d70-b1d1-ec0e777dedf3,EMP000282,Data Analyst,Product,Senior,Internship,Remote,New York,NY,USA,09/06/2023,09/17/2023,11/29/2023,02/07/2025,USD,120218.0,Other,Referral,2025-10-25
283,a318b73e-2299-402c-8305-e8706c8a2c2f,969c0af3-de48-42ad-a03c-6a9b56741ac4,EMP000283,Product Analyst,Security,Senior,Internship,Remote,Chicago,IL,USA,03/27/2026,03/29/2026,12/08/2026,12/31/2026,USD,107283.0,OPT,Handshake,2025-10-25
284,8a43bb44-2568-4d4c-99d2-27462d7da95b,9fc4cddc-d2f0-4765-be98-944e11ae3ac6,EMP000284,Security Analyst,Engineering,Junior,Internship,On-site,Hyderabad,NA,India,01/15/2025,01/15/2025,07/29/2025,12/31/2026,USD,86183.0,OPT,Referral,2025-10-25
285,b3b57a7e-e126-485d-ab69-835994784af0,61c81975-a0d6-4ac6-906c-fb683e0ee62b,EMP000285,Associate Consultant,Consulting,Mid,Contract,On-site,Hyderabad,NA,India,01/15/2022,01/24/2022,04/20/2022,10/08/2023,USD,85950.0,OPT,Handshake,2025-10-25
286,3e82eaab-8ecc-4d02-a620-33bd0f429d64,67d5d7ca-f59d-49a2-b88d-8e1f4ae20bb0,EMP000286,ML Engineer,Security,Mid,Internship,Hybrid,Boston,MA,USA,03/21/2024,04/03/2024,08/14/2024,04/10/2026,USD,118492.0,Citizen,Handshake,2025-10-25
287,ed36112d-ba4d-46a8-bb0a-dfdbee8af64c,090e2e03-afcd-4647-bea6-b2a9778e9658,EMP000287,Software Engineer,Analytics,Senior,Internship,On-site,Chicago,IL,USA,11/25/2024,12/05/2024,05/24/2025,12/31/2026,USD,129786.0,Other,Referral,2025-10-25
288,932ca38f-7ced-45a0-91ef-ad52eb359ae4,68f4ed48-b70b-4079-85e9-4ff9484b981f,EMP000288,Security Analyst,Security,Senior,Internship,Hybrid,Chicago,IL,USA,08/10/2022,08/15/2022,12/06/2022,04/12/2024,USD,110059.0,STEM OPT,Handshake,2025-10-25
289,ca1adf82-5176-4aa4-a792-0d49c3181d28,c083125a-13cd-483c-ba54-5aca065149a8,EMP000289,Data Engineer,Quality,Mid,Internship,On-site,Boston,MA,USA,03/25/2026,04/01/2026,08/31/2026,12/31/2026,USD,105815.0,Citizen,Handshake,2025-10-25
290,2cb8f678-1881-43e1-b57b-228404282fef,4a733a00-152e-44bd-82ed-debb4d991d11,EMP000290,Product Analyst,Consulting,Senior,Contract,On-site,Dallas,TX,USA,01/03/2022,01/07/2022,04/17/2022,01/30/2024,USD,114554.0,STEM OPT,Direct Apply,2025-10-25
291,7a908917-6cec-4beb-a454-b49cf80e82bb,f9823689-5eb1-439e-8007-5e755f9bd242,EMP000291,Product Analyst,Analytics,Mid,Internship,On-site,Dallas,TX,USA,05/21/2026,05/27/2026,11/29/2026,12/31/2026,USD,114265.0,STEM OPT,Referral,2025-10-25
292,b7c2cd4f-b161-4993-a5f6-4176c4ad125b,26eb3c46-3272-4bda-846b-318e9add5f82,EMP000292,Data Analyst,Analytics,Mid,Full-time,Remote,Seattle,WA,USA,07/15/2024,07/25/2024,11/01/2024,04/02/2026,USD,94479.0,OPT,Direct Apply,2025-10-25
293,713f0bb4-b4f4-4ab9-9b02-2cdd0d05d40c,632c76da-5b1f-49be-b8f1-6d1e01d85a5a,EMP000293,Product Analyst,Security,Mid,Internship,Remote,St. Louis,MO,USA,01/22/2023,02/02/2023,08/15/2023,04/09/2025,USD,109842.0,OPT,Career Fair,2025-10-25
294,de5bf904-b4af-4186-b758-78bcaeb1160a,bfa307b5-cc30-4dbe-826f-e5c13a4c0af9,EMP000294,Associate Consultant,Product,Senior,Internship,Remote,Boston,MA,USA,05/02/2023,05/15/2023,12/02/2023,06/05/2025,USD,120777.0,STEM OPT,Career Fair,2025-10-25
295,dda2cfc0-c795-4553-88c9-cec94bf34d6b,dbffb3d7-02b3-45b4-8f77-fdd5d5312027,EMP000295,Cloud Engineer,Consulting,Senior,Contract,Remote,Chicago,IL,USA,07/07/2022,07/15/2022,10/19/2022,08/12/2024,USD,136386.0,PR,Career Fair,2025-10-25
296,59600672-35f5-4310-b348-11a03aa04bac,c434f78c-28f0-417b-b39d-56ae2fb5213f,EMP000296,Business Analyst,Security,Mid,Contract,Remote,New York,NY,USA,07/03/2024,07/06/2024,10/28/2024,03/09/2026,USD,95602.0,Other,Direct Apply,2025-10-25
297,17d8b193-6a1f-4012-828b-9f148d02dc9a,f3f09a0f-9436-4d0e-bd62-54a3ddef47fb,EMP000297,Product Analyst,Consulting,Intern,Contract,On-site,Hyderabad,NA,India,06/03/2026,06/07/2026,12/01/2026,12/31/2026,USD,101267.0,OPT,LinkedIn,2025-10-25
298,2e627fde-452b-4636-b0c6-ee1baa487de2,a56edacd-c6ca-4f8e-9d4d-e2468fe08620,EMP000298,Data Analyst,Consulting,Junior,Internship,On-site,Bengaluru,NA,India,05/08/2026,05/15/2026,08/15/2026,12/31/2026,USD,113209.0,H1B,Referral,2025-10-25
299,5269a4d1-d1d4-4f61-841b-35210e5cdd79,51d12e63-468f-4040-90c3-0c39155bcd66,EMP000299,Cloud Engineer,Quality,Intern,Internship,On-site,Boston,MA,USA,04/09/2025,04/13/2025,08/13/2025,08/26/2026,USD,139302.0,Citizen,Direct Apply,2025-10-25
300,1fc834cc-3177-43c1-af13-2bcbaf8f9662,f58373d6-e324-405a-bf13-d23a445f1206,EMP000300,Software Engineer,Security,Mid,Internship,Remote,Dallas,TX,USA,06/08/2023,06/09/2023,07/31/2023,02/09/2025,USD,110352.0,OPT,Handshake,2025-10-25
301,2c618305-8761-4118-882e-150a424992a2,17f1ee44-935f-437d-841d-c8640804134b,EMP000301,Data Analyst,Product,Mid,Full-time,On-site,New York,NY,USA,03/30/2025,04/02/2025,12/08/2025,12/31/2026,USD,100396.0,OPT,LinkedIn,2025-10-25
302,7978fcbe-8f27-46fa-a925-f05488d2bb60,6b4f466b-f211-429c-a499-e0fbfd05019c,EMP000302,QA Engineer,Consulting,Mid,Contract,Hybrid,Austin,TX,USA,02/26/2021,03/08/2021,07/22/2021,12/12/2022,USD,113462.0,OPT,LinkedIn,2025-10-25
303,c7db1fc9-769c-4f43-8c34-764190bd920c,2aac66f3-3ffa-4582-9529-d58fdd7d37f6,EMP000303,Business Analyst,Product,Junior,Full-time,Hybrid,St. Louis,MO,USA,08/03/2022,08/16/2022,10/17/2022,12/08/2023,USD,105422.0,OPT,LinkedIn,2025-10-25
304,b05cb78a-6eba-495c-9954-942221d6b2ca,26a5d183-4107-40e9-9307-d95c9e220493,EMP000304,Associate Consultant,Quality,Mid,Full-time,On-site,Dallas,TX,USA,04/30/2021,05/07/2021,07/27/2021,07/19/2023,USD,115188.0,OPT,Direct Apply,2025-10-25
305,8c870fe4-9aa9-4ceb-a6d7-65b3f9a2ae50,27cffd01-f1f7-41aa-9a76-14a2f6cfe37f,EMP000305,Security Analyst,Quality,Senior,Internship,Hybrid,Seattle,WA,USA,09/03/2025,09/08/2025,11/08/2025,12/31/2026,USD,110715.0,PR,Career Fair,2025-10-25
306,fc3d142b-858f-411d-a2c6-ad2311877bef,cc4f9bd9-cc20-4af7-891e-61d3ae59a740,EMP000306,Security Analyst,Engineering,Intern,Internship,On-site,St. Louis,MO,USA,09/25/2021,09/25/2021,05/22/2022,08/28/2023,USD,97599.0,OPT,Direct Apply,2025-10-25
307,c6e1e1da-77a0-40d5-915e-2ca25f130e5b,625837d8-b58e-48a3-9313-710f1fb72922,EMP000307,Data Analyst,Quality,Mid,Full-time,Hybrid,Seattle,WA,USA,07/15/2023,07/20/2023,11/27/2023,06/17/2025,USD,129717.0,Citizen,Referral,2025-10-25
308,ff07e97d-4684-4526-ada4-4d926ec1179b,e9ce3718-c3a2-463e-aeed-6c85588f4aff,EMP000308,Data Analyst,Product,Mid,Contract,Remote,Boston,MA,USA,08/09/2025,08/21/2025,11/01/2025,12/31/2026,USD,119304.0,STEM OPT,Direct Apply,2025-10-25
309,948f4c8f-8127-437e-8bb2-7b60d9610065,7f17df2d-385b-436f-ab0b-426abdc4cb7b,EMP000309,Security Analyst,Analytics,Junior,Internship,On-site,New York,NY,USA,04/28/2021,05/04/2021,07/29/2021,03/23/2023,USD,139696.0,PR,Direct Apply,2025-10-25
310,598d47b3-fe61-4711-b0d0-ba337a6d581a,e0db2d9a-cedc-47f3-be16-a074d4f11f55,EMP000310,Business Analyst,Product,Intern,Internship,On-site,Bengaluru,NA,India,03/31/2025,04/10/2025,08/24/2025,12/31/2026,USD,88230.0,OPT,Direct Apply,2025-10-25
311,e701bd18-1c0f-47a3-b263-70bbeda7f2b9,92a380c8-3c17-41c9-a995-9f1a81cee1bf,EMP000311,QA Engineer,Consulting,Junior,Internship,On-site,Austin,TX,USA,12/25/2020,12/26/2020,07/21/2021,04/11/2023,USD,94296.0,STEM OPT,Career Fair,2025-10-25
312,4009e430-3a7d-4221-8501-9152b5be71a7,44ea971a-154a-43a7-9b35-eb8a18aaf02f,EMP000312,Data Analyst,Consulting,Senior,Full-time,Hybrid,Bengaluru,NA,India,10/07/2022,10/16/2022,05/05/2023,04/16/2025,USD,91090.0,OPT,Handshake,2025-10-25
313,a93f1b01-30bb-4816-833a-cfa7fd27d495,c2c1dd42-b9d0-430c-83fc-9046e28ba591,EMP000313,Data Engineer,Engineering,Intern,Internship,Hybrid,New York,NY,USA,04/15/2025,04/24/2025,08/17/2025,10/27/2026,USD,111460.0,Citizen,Direct Apply,2025-10-25
314,35b649c0-43bd-4517-9536-c40967b73a27,5c2118fb-51dd-4f4c-896d-3f3e257af7c7,EMP000314,Product Analyst,Consulting,Senior,Internship,Remote,Chicago,IL,USA,11/25/2024,12/05/2024,05/04/2025,09/26/2026,USD,111170.0,STEM OPT,LinkedIn,2025-10-25
315,427f1919-9f7f-4c4a-9747-12dee2898fdc,09753374-3605-4996-9e77-e4b7ef1cf27f,EMP000315,Data Analyst,Quality,Intern,Contract,On-site,Chicago,IL,USA,08/20/2024,09/02/2024,11/19/2024,09/26/2026,USD,96722.0,STEM OPT,Direct Apply,2025-10-25
316,32ae249d-2789-4dfd-b5de-293cb20f3272,83c4bb81-86e4-4616-a67c-7f68cc5d4fa0,EMP000316,Product Analyst,Consulting,Mid,Contract,On-site,Seattle,WA,USA,03/02/2025,03/05/2025,08/22/2025,12/31/2026,USD,120046.0,STEM OPT,Direct Apply,2025-10-25
317,f06329e4-cb79-4522-b216-1874001c12ff,973c6f39-b214-4ab0-ae0e-84a15334b73b,EMP000317,Data Analyst,Security,Mid,Internship,On-site,Austin,TX,USA,11/26/2022,12/08/2022,06/07/2023,01/13/2025,USD,94342.0,STEM OPT,LinkedIn,2025-10-25
318,cd2d7125-14a6-4094-9f4b-b85dc4b9f347,f399c615-e1d6-4c05-b785-e6a9a4bc8c80,EMP000318,Business Analyst,Consulting,Senior,Contract,On-site,Austin,TX,USA,02/15/2025,02/19/2025,09/08/2025,12/31/2026,USD,115472.0,STEM OPT,Direct Apply,2025-10-25
319,954e95a6-3ca5-4150-a58c-bbcc0cee8181,8e8b484d-ce39-4612-9ddb-3aab0b0cc056,EMP000319,Security Analyst,Analytics,Junior,Internship,On-site,Hyderabad,NA,India,11/17/2025,11/30/2025,05/20/2026,12/31/2026,USD,110222.0,OPT,Direct Apply,2025-10-25
320,654c77e8-8ff7-4de8-869a-b6df2a365126,a0e7243e-e39a-4def-8ad4-0b0cef19d137,EMP000320,ML Engineer,Consulting,Senior,Internship,Remote,Dallas,TX,USA,05/16/2024,05/29/2024,08/25/2024,09/25/2025,USD,125114.0,H1B,Direct Apply,2025-10-25
321,fdd180bd-bfe7-41df-ad5c-4b592fb9fb58,69334b82-c593-4edc-a885-f831e4d6e22e,EMP000321,Cloud Engineer,Product,Intern,Full-time,Remote,St. Louis,MO,USA,12/20/2022,12/29/2022,05/16/2023,08/16/2024,USD,97660.0,Other,Handshake,2025-10-25
322,b42a2edf-1eb9-4e61-a761-8130685ffe6c,86c89d77-cbb4-44da-a922-2510d10b4436,EMP000322,Associate Consultant,Security,Junior,Internship,Hybrid,Dallas,TX,USA,02/05/2026,02/08/2026,07/28/2026,12/31/2026,USD,105497.0,OPT,Referral,2025-10-25
323,d37406e1-b748-402e-a14b-272fff6f730f,590c5916-c52f-4583-8463-38b105111064,EMP000323,Product Analyst,Quality,Senior,Internship,Hybrid,Chicago,IL,USA,04/01/2025,04/08/2025,08/01/2025,12/31/2026,USD,101052.0,STEM OPT,LinkedIn,2025-10-25
324,55cd4ff4-fa2e-4ffe-aace-adcccd8bdf61,132f237c-6be9-4ec9-b94b-7c88615e3b20,EMP000324,QA Engineer,Consulting,Intern,Full-time,On-site,New York,NY,USA,03/09/2026,03/09/2026,06/03/2026,12/31/2026,USD,108063.0,OPT,Referral,2025-10-25
325,93c3e124-0c89-4375-a3e3-611bde8f3b4b,18a22a65-49fe-4185-9911-7e716edb2009,EMP000325,Security Analyst,Analytics,Intern,Contract,Remote,Seattle,WA,USA,01/27/2024,02/05/2024,05/16/2024,11/16/2025,USD,120656.0,PR,LinkedIn,2025-10-25
326,658ac1c5-226e-4503-bf56-08f3ef7512be,59765f2d-0803-4882-82e1-650b21972b1a,EMP000326,Business Analyst,Analytics,Junior,Contract,On-site,New York,NY,USA,12/18/2022,12/22/2022,07/23/2023,04/21/2025,USD,112447.0,STEM OPT,Career Fair,2025-10-25
327,864b075a-607b-45f8-9957-184a40b5cc74,7cb07e04-617a-4189-86d1-b968659f60ae,EMP000327,ML Engineer,Analytics,Junior,Contract,Remote,Austin,TX,USA,05/02/2026,05/12/2026,12/09/2026,12/31/2026,USD,112740.0,OPT,LinkedIn,2025-10-25
328,cb8746e9-f08f-442b-b7b6-9f50d1d0ae96,84bcc218-ce8e-42c5-97f3-ce25768caa1e,EMP000328,Associate Consultant,Quality,Mid,Contract,On-site,St. Louis,MO,USA,04/16/2024,04/16/2024,10/21/2024,09/05/2026,USD,116603.0,PR,LinkedIn,2025-10-25
329,a2fbe727-3ed0-41ec-9140-16f00581cfa8,6fa3f7e1-0b70-44e4-8d48-4b36b2c8e003,EMP000329,ML Engineer,Consulting,Junior,Internship,Hybrid,Hyderabad,NA,India,04/04/2021,04/15/2021,11/30/2021,01/06/2023,USD,135550.0,PR,Handshake,2025-10-25
330,2e5ce550-8743-4582-8553-9ec5d323f578,739a0faa-2480-4192-bfd7-bd04d25fc514,EMP000330,Business Analyst,Security,Senior,Full-time,Hybrid,St. Louis,MO,USA,07/13/2024,07/15/2024,12/05/2024,06/30/2026,USD,100402.0,STEM OPT,Referral,2025-10-25
331,861decd3-1287-470b-8b05-1996f1eaa873,d3fc214e-d6bd-4e9f-91b6-7fb338c92a06,EMP000331,Data Engineer,Quality,Senior,Full-time,On-site,Chicago,IL,USA,02/20/2024,03/05/2024,08/24/2024,02/26/2026,USD,100625.0,STEM OPT,Referral,2025-10-25
332,705e36fa-b7d2-4d3c-9a4d-b18b55d8efa1,58293f39-66b1-474c-9e54-51c06bc8bf96,EMP000332,Software Engineer,Product,Senior,Internship,Remote,Austin,TX,USA,06/11/2023,06/17/2023,08/31/2023,05/06/2025,USD,88914.0,OPT,Handshake,2025-10-25
333,fbf98ee4-6b60-45f1-8529-bda656044e66,0c1515f0-bc16-4d8b-89c6-7772ad5c7e9d,EMP000333,Data Engineer,Consulting,Mid,Internship,Hybrid,St. Louis,MO,USA,12/22/2024,01/01/2025,09/08/2025,12/31/2026,USD,122467.0,H1B,Career Fair,2025-10-25
334,47006e58-5ef5-4c2f-b207-7ae709a0006d,740128a6-8258-4e68-8bdf-bdd87f5c1402,EMP000334,Business Analyst,Analytics,Junior,Contract,Remote,St. Louis,MO,USA,01/19/2021,01/29/2021,09/03/2021,03/04/2023,USD,113590.0,STEM OPT,Career Fair,2025-10-25
335,af64f919-d944-4418-b908-b27a4689d6d7,fb478979-ccf6-44f3-ad89-fddb9f3867ee,EMP000335,Cloud Engineer,Security,Senior,Contract,On-site,St. Louis,MO,USA,03/02/2024,03/02/2024,06/06/2024,04/01/2026,USD,106531.0,Citizen,Direct Apply,2025-10-25
336,49f3a145-459c-488d-b85e-f70dd1f8c128,aa3bd2da-c0e9-4082-a05c-508ae4a2a316,EMP000336,Cloud Engineer,Consulting,Junior,Contract,On-site,Seattle,WA,USA,06/01/2024,06/09/2024,11/14/2024,02/23/2026,USD,104701.0,STEM OPT,Referral,2025-10-25
337,6c249382-d41a-48f2-813a-51b1ab020ea6,c56904e7-c77d-4d53-b342-b7c8162ba7f7,EMP000337,QA Engineer,Analytics,Junior,Full-time,On-site,Boston,MA,USA,12/25/2023,12/31/2023,08/27/2024,09/24/2025,USD,134437.0,PR,Referral,2025-10-25
338,be5f25a2-a453-407e-b63b-5854c1855b7a,71caecc1-163b-4c46-ba25-4a46bbc53c6e,EMP000338,Data Analyst,Engineering,Mid,Contract,On-site,St. Louis,MO,USA,08/07/2026,08/13/2026,10/31/2026,12/31/2026,USD,119006.0,Citizen,Career Fair,2025-10-25
339,60f277e8-a051-4e3a-bbcd-9fa6110bb221,b893acc2-3634-4bbb-a213-793b0073a6ba,EMP000339,Software Engineer,Product,Senior,Contract,Remote,St. Louis,MO,USA,05/08/2022,05/15/2022,09/12/2022,02/16/2024,USD,106132.0,PR,Direct Apply,2025-10-25
340,f3bbd845-1ba7-4182-822f-764321b2e40c,92f40a1c-e33e-49a2-85dc-7a9782a5c03f,EMP000340,Data Engineer,Quality,Intern,Contract,On-site,Bengaluru,NA,India,02/03/2025,02/09/2025,05/13/2025,12/31/2026,USD,107193.0,Other,Career Fair,2025-10-25
341,e7517c7c-514d-457c-a196-e6d95aa9ddd9,3b6d62b0-527d-4a96-a608-4c0b639bfa13,EMP000341,Associate Consultant,Security,Senior,Full-time,Remote,St. Louis,MO,USA,01/09/2022,01/22/2022,05/18/2022,02/12/2024,USD,103560.0,STEM OPT,Referral,2025-10-25
