serial_no,employer_id,employer_name,industry,sub_industry,company_size_band,hq_city,hq_state,hq_country,website_url,linkedin_url,is_faang_company,is_non_profit,slu_partnership_type,slu_partnership_level,slu_partnership_status,slu_partnership_start_date,primary_contact_name,primary_contact_title,primary_contact_email,primary_contact_phone
172,ad10f537-66c3-4941-8f6e-ef2e70dc6379,Employer 0172,Education,University,Enterprise,Boston,MA,USA,https://www.example172.com,https://www.linkedin.com/company/example-172,0,1,Academic,Gold,Prospect,11/16/2024,Alex172 Reed172,Talent Partner,contact172@example.com,+16188504858
173,8086e6bd-f160-4ee2-909e-ab21fce762e3,Employer 0173,Education,University,Enterprise,New York,NY,USA,https://www.example173.com,https://www.linkedin.com/company/example-173,0,1,Mentorship,Silver,Prospect,11/08/2023,Alex173 Reed173,HR Manager,contact173@example.com,+15708184270
174,7061e063-dc1f-46f0-a57f-9ff9f39db032,Employer 0174,Energy,Utilities,Large,London,NA,UK,https://www.example174.com,https://www.linkedin.com/company/example-174,0,0,Hiring,Silver,Active,08/21/2023,Alex174 Reed174,HR Manager,contact174@example.com,+13765197570
175,b9ba4161-1ffd-4938-95d7-ab3ec4fb1ef7,Employer 0175,Finance,Banking,Small,Seattle,WA,USA,https://www.example175.com,https://www.linkedin.com/company/example-175,0,0,Academic,Silver,Prospect,07/28/2025,Alex175 Reed175,University Relations,contact175@example.com,+12715643818
176,4bb4cc32-dc39-437f-8460-214fde66ff4d,Employer 0176,Retail,E-commerce,Large,New York,NY,USA,https://www.example176.com,https://www.linkedin.com/company/example-176,0,0,Hiring,Gold,Inactive,04/16/2024,Alex176 Reed176,Talent Partner,contact176@example.com,+18822433178
177,51a6b508-2751-4460-a076-66d17fab69e3,Employer 0177,Finance,Banking,Medium,New York,NY,USA,https://www.example177.com,https://www.linkedin.com/company/example-177,0,0,Hiring,Bronze,Prospect,07/24/2021,Alex177 Reed177,University Relations,contact177@example.com,+12257344167
178,e138acb3-8e54-4835-8948-55773a69ac23,Employer 0178,Consulting,IT Services,Enterprise,Austin,TX,USA,https://www.example178.com,https://www.linkedin.com/company/example-178,0,0,Hiring,Gold,Active,10/21/2025,Alex178 Reed178,Recruiter,contact178@example.com,+18759165726
179,43cb44cb-4183-4d89-89b3-f2ec5f24e463,Employer 0179,Manufacturing,Industrial,Small,Boston,MA,USA,https://www.example179.com,https://www.linkedin.com/company/example-179,0,0,None,Bronze,Active,02/27/2025,Alex179 Reed179,HR Manager,contact179@example.com,+17885556952
180,5ceade86-d07f-4e34-b267-26ab068022b4,Employer 0180,Government,Public Sector,Enterprise,San Jose,CA,USA,https://www.example180.com,https://www.linkedin.com/company/example-180,0,0,Donor,Silver,Inactive,03/07/2023,Alex180 Reed180,University Relations,contact180@example.com,+19248057452
181,9bb97919-871b-4621-a5f6-63a397636380,Employer 0181,Healthcare,Provider,Enterprise,San Jose,CA,USA,https://www.example181.com,https://www.linkedin.com/company/example-181,0,0,Donor,Silver,Inactive,02/21/2026,Alex181 Reed181,University Relations,contact181@example.com,+18587373002
182,058ce067-9c77-40fe-82d9-001280930c34,Employer 0182,Finance,Banking,Enterprise,Hyderabad,NA,India,https://www.example182.com,https://www.linkedin.com/company/example-182,0,0,Hiring,Gold,Inactive,02/18/2023,Alex182 Reed182,Talent Partner,contact182@example.com,+13999237124
183,47b72ce9-8b8e-4ef6-b357-e57ab98cf4ef,Employer 0183,Healthcare,Provider,Enterprise,Dublin,NA,Ireland,https://www.example183.com,https://www.linkedin.com/company/example-183,0,0,Donor,Gold,Prospect,12/14/2020,Alex183 Reed183,Talent Partner,contact183@example.com,+18428819107
184,27e4366e-2bfb-4c50-ab35-958cd18bd340,Employer 0184,Consulting,IT Services,Small,Boston,MA,USA,https://www.example184.com,https://www.linkedin.com/company/example-184,0,0,Academic,Bronze,Inactive,12/08/2023,Alex184 Reed184,University Relations,contact184@example.com,+19583999902
185,09406a18-c100-413e-bc25-660e5f8205a3,Employer 0185,Energy,Utilities,Enterprise,Chicago,IL,USA,https://www.example185.com,https://www.linkedin.com/company/example-185,0,0,Academic,Bronze,Prospect,01/25/2023,Alex185 Reed185,HR Manager,contact185@example.com,+15322331619
186,1637ad91-7d3a-4b27-b19e-3d23601a6452,Employer 0186,Education,University,Enterprise,Dallas,TX,USA,https://www.example186.com,https://www.linkedin.com/company/example-186,0,0,Donor,Silver,Inactive,05/27/2025,Alex186 Reed186,Talent Partner,contact186@example.com,+16767222203
187,9566aaca-eb32-4ace-80b7-205a89ffc1ae,Employer 0187,Energy,Utilities,Small,Boston,MA,USA,https://www.example187.com,https://www.linkedin.com/company/example-187,0,0,None,Silver,Inactive,02/18/2022,Alex187 Reed187,University Relations,contact187@example.com,+12135506115
188,dbb1efca-7167-40b4-87e5-5b7431dc62b4,Employer 0188,Healthcare,Provider,Medium,Chicago,IL,USA,https://www.example188.com,https://www.linkedin.com/company/example-188,0,1,Mentorship,Bronze,Active,04/04/2022,Alex188 Reed188,HR Manager,contact188@example.com,+12979935182
189,40bb5c00-d8b3-44b0-873e-182ff6155b81,Employer 0189,Finance,Banking,Enterprise,Austin,TX,USA,https://www.example189.com,https://www.linkedin.com/company/example-189,0,0,Donor,Bronze,Prospect,02/10/2020,Alex189 Reed189,Recruiter,contact189@example.com,+14982528608
190,d5901f09-19a4-4602-accd-60fd5d55e72a,Employer 0190,Consulting,IT Services,Small,Chicago,IL,USA,https://www.example190.com,https://www.linkedin.com/company/example-190,0,0,Donor,Silver,Active,06/04/2025,Alex190 Reed190,Recruiter,contact190@example.com,+15202183512
191,14afa3bf-cee6-4431-89d5-c5336258bdc6,Employer 0191,Logistics,Supply Chain,Medium,St. Louis,MO,USA,https://www.example191.com,https://www.linkedin.com/company/example-191,0,0,Sponsorship,Silver,Prospect,05/13/2022,Alex191 Reed191,HR Manager,contact191@example.com,+17762549448
192,24f41f0d-029d-4762-b4eb-ef5de7fceaf7,Employer 0192,Retail,E-commerce,Medium,St. Louis,MO,USA,https://www.example192.com,https://www.linkedin.com/company/example-192,0,0,None,Silver,Active,09/30/2021,Alex192 Reed192,Recruiter,contact192@example.com,+13008947665
193,3fd4c68f-06d5-494d-a957-3c206e6afb42,Employer 0193,Technology,Cloud/Software,Enterprise,Dallas,TX,USA,https://www.example193.com,https://www.linkedin.com/company/example-193,0,0,Academic,Silver,Inactive,03/18/2021,Alex193 Reed193,Recruiter,contact193@example.com,+15552369195
194,4460506f-fb81-451b-abad-42bc12528972,Employer 0194,Retail,E-commerce,Small,New York,NY,USA,https://www.example194.com,https://www.linkedin.com/company/example-194,0,0,Mentorship,Bronze,Prospect,02/24/2025,Alex194 Reed194,Recruiter,contact194@example.com,+19929736524
195,a6293d41-4ca9-494d-922b-b69ab50b51c8,Employer 0195,Healthcare,Provider,Small,New York,NY,USA,https://www.example195.com,https://www.linkedin.com/company/example-195,0,1,None,Silver,Prospect,11/10/2021,Alex195 Reed195,Recruiter,contact195@example.com,+19406883534
196,3f86cca2-7c79-44ca-b8c8-125053a2dbe2,Employer 0196,Education,University,Enterprise,New York,NY,USA,https://www.example196.com,https://www.linkedin.com/company/example-196,0,1,Hiring,Bronze,Active,05/29/2025,Alex196 Reed196,Recruiter,contact196@example.com,+16837801519
197,282f34ac-0422-411f-9fd3-7eb6ae0963bb,Employer 0197,Manufacturing,Industrial,Medium,Toronto,ON,Canada,https://www.example197.com,https://www.linkedin.com/company/example-197,0,0,Sponsorship,Silver,Prospect,10/29/2026,Alex197 Reed197,University Relations,contact197@example.com,+18466421232
198,cbf3bbd2-2cdf-465c-9e37-6567b4bf4891,Employer 0198,Education,University,Medium,Dublin,NA,Ireland,https://www.example198.com,https://www.linkedin.com/company/example-198,0,0,Hiring,Gold,Prospect,04/19/2026,Alex198 Reed198,Talent Partner,contact198@example.com,+14228498102
199,8efcf7e6-566d-486c-a0c2-79604fea5375,Employer 0199,Energy,Utilities,Enterprise,Austin,TX,USA,https://www.example199.com,https://www.linkedin.com/company/example-199,0,0,None,Gold,Inactive,03/12/2026,Alex199 Reed199,Talent Partner,contact199@example.com,+16589027517
200,01920305-4d76-412c-bc51-0fcf4e7404b6,Employer 0200,Consulting,IT Services,Enterprise,Chicago,IL,USA,https://www.example200.com,https://www.linkedin.com/company/example-200,1,0,Mentorship,Bronze,Inactive,07/26/2020,Alex200 Reed200,Recruiter,contact200@example.com,+14342769155
201,794acdf0-e4ef-469b-9b34-51a3cacde814,Employer 0201,Logistics,Supply Chain,Medium,Dallas,TX,USA,https://www.example201.com,https://www.linkedin.com/company/example-201,0,0,Sponsorship,Gold,Active,09/02/2025,Alex201 Reed201,University Relations,contact201@example.com,+12602662822
202,f519552d-c6c5-415e-9ae6-a3d324d995dd,Employer 0202,Healthcare,Provider,Large,Seattle,WA,USA,https://www.example202.com,https://www.linkedin.com/company/example-202,0,0,Donor,Bronze,Active,03/02/2026,Alex202 Reed202,University Relations,contact202@example.com,+13773968489
203,0f5df1e2-f28f-42f3-aeca-a2a5f1449a53,Employer 0203,Education,University,Large,Bengaluru,NA,India,https://www.example203.com,https://www.linkedin.com/company/example-203,0,1,None,Bronze,Inactive,07/19/2020,Alex203 Reed203,University Relations,contact203@example.com,+15815082218
204,cb42e1a8-e384-4d2e-93dc-e29a8da9d859,Employer 0204,Finance,Banking,Enterprise,Bengaluru,NA,India,https://www.example204.com,https://www.linkedin.com/company/example-204,0,0,Academic,Gold,Inactive,12/08/2026,Alex204 Reed204,Talent Partner,contact204@example.com,+16343393964
205,07081649-f914-4cfc-8313-dcded16c5273,Employer 0205,Retail,E-commerce,Enterprise,Dublin,NA,Ireland,https://www.example205.com,https://www.linkedin.com/company/example-205,0,0,Hiring,Bronze,Prospect,09/11/2022,Alex205 Reed205,Recruiter,contact205@example.com,+18298414603
206,4fbd8343-6169-40f9-8c75-33e26c7819b0,Employer 0206,Consulting,IT Services,Small,New York,NY,USA,https://www.example206.com,https://www.linkedin.com/company/example-206,0,0,Academic,Gold,Inactive,12/10/2021,Alex206 Reed206,Talent Partner,contact206@example.com,+18068079257
207,b70c70b1-f9a1-4756-969e-71f9f2b6b0cb,Employer 0207,Education,University,Large,Chicago,IL,USA,https://www.example207.com,https://www.linkedin.com/company/example-207,0,0,Donor,Bronze,Active,05/07/2025,Alex207 Reed207,HR Manager,contact207@example.com,+15806171249
208,903053ba-3201-44bf-8990-dc4397070f69,Employer 0208,Logistics,Supply Chain,Small,Chicago,IL,USA,https://www.example208.com,https://www.linkedin.com/company/example-208,0,0,Sponsorship,Gold,Prospect,08/10/2023,Alex208 Reed208,Recruiter,contact208@example.com,+16973147892
209,bfc22143-7a0f-4c48-a921-ad83e9de628a,Employer 0209,Consulting,IT Services,Small,St. Louis,MO,USA,https://www.example209.com,https://www.linkedin.com/company/example-209,0,0,Academic,Gold,Active,07/23/2021,Alex209 Reed209,Recruiter,contact209@example.com,+13207851649
210,b783889b-9e84-4077-bb51-92109c93f317,Employer 0210,Education,University,Large,New York,NY,USA,https://www.example210.com,https://www.linkedin.com/company/example-210,0,0,None,Silver,Active,12/15/2023,Alex210 Reed210,Talent Partner,contact210@example.com,+16418284486
211,d952f079-929e-425c-813b-e926695e3294,Employer 0211,Education,University,Medium,San Jose,CA,USA,https://www.example211.com,https://www.linkedin.com/company/example-211,0,1,Academic,Silver,Inactive,03/30/2026,Alex211 Reed211,HR Manager,contact211@example.com,+12699839872
212,8ae299c2-f199-4e69-b0c3-94be82e553cd,Employer 0212,Healthcare,Provider,Large,Boston,MA,USA,https://www.example212.com,https://www.linkedin.com/company/example-212,0,0,Mentorship,Silver,Inactive,07/10/2024,Alex212 Reed212,Recruiter,contact212@example.com,+15126405776
213,62d64483-edd7-42e2-ae0e-f4a767f1e7b9,Employer 0213,Manufacturing,Industrial,Small,Seattle,WA,USA,https://www.example213.com,https://www.linkedin.com/company/example-213,0,0,Sponsorship,Silver,Inactive,04/23/2026,Alex213 Reed213,University Relations,contact213@example.com,+12243562435
214,d15499a6-b0cd-44ee-b45e-5552cf1ea894,Employer 0214,Finance,Banking,Small,San Jose,CA,USA,https://www.example214.com,https://www.linkedin.com/company/example-214,0,0,None,Silver,Inactive,11/08/2021,Alex214 Reed214,HR Manager,contact214@example.com,+16367474714
215,6538b39c-3bf6-4b00-b6c7-7112d6f15e9a,Employer 0215,Education,University,Small,Boston,MA,USA,https://www.example215.com,https://www.linkedin.com/company/example-215,0,1,Donor,Gold,Active,01/18/2026,Alex215 Reed215,Talent Partner,contact215@example.com,+14455963247
216,945db903-6fc8-44a9-9ab6-1ab7809de004,Employer 0216,Healthcare,Provider,Medium,San Jose,CA,USA,https://www.example216.com,https://www.linkedin.com/company/example-216,0,0,Academic,Silver,Active,07/31/2026,Alex216 Reed216,University Relations,contact216@example.com,+17883385149
217,dc2c6817-4a06-4fdc-96af-466f17a7ea74,Employer 0217,Retail,E-commerce,Large,Boston,MA,USA,https://www.example217.com,https://www.linkedin.com/company/example-217,0,0,Sponsorship,Gold,Inactive,07/18/2021,Alex217 Reed217,Talent Partner,contact217@example.com,+16116877582
218,f83c17a8-2d83-4464-879d-6cdfe0c890f8,Employer 0218,Energy,Utilities,Small,Seattle,WA,USA,https://www.example218.com,https://www.linkedin.com/company/example-218,0,0,Mentorship,Silver,Prospect,03/04/2025,Alex218 Reed218,Recruiter,contact218@example.com,+14572258005
219,eee31fc5-8c90-4f73-89d7-d733bf0ac383,Employer 0219,Education,University,Enterprise,Seattle,WA,USA,https://www.example219.com,https://www.linkedin.com/company/example-219,0,0,None,Gold,Prospect,02/14/2024,Alex219 Reed219,HR Manager,contact219@example.com,+14243329800
220,62f2cc87-158f-45b7-94af-b06fbb75241d,Employer 0220,Healthcare,Provider,Enterprise,St. Louis,MO,USA,https://www.example220.com,https://www.linkedin.com/company/example-220,0,0,Donor,Silver,Active,06/07/2025,Alex220 Reed220,University Relations,contact220@example.com,+13844171857
221,17721c7e-ee96-4ddc-922d-2292d8713ccf,Employer 0221,Consulting,IT Services,Medium,Boston,MA,USA,https://www.example221.com,https://www.linkedin.com/company/example-221,0,0,Mentorship,Bronze,Prospect,02/01/2022,Alex221 Reed221,University Relations,contact221@example.com,+15342905305
222,d4f13e90-a65c-4a52-9eee-8ddf10a4a83c,Employer 0222,Retail,E-commerce,Enterprise,Chicago,IL,USA,https://www.example222.com,https://www.linkedin.com/company/example-222,0,0,Hiring,Silver,Prospect,08/25/2024,Alex222 Reed222,HR Manager,contact222@example.com,+16855107182
223,0e89c060-c1ac-4d24-b3bd-7ec26487a2ab,Employer 0223,Retail,E-commerce,Small,Dallas,TX,USA,https://www.example223.com,https://www.linkedin.com/company/example-223,0,0,Academic,Bronze,Inactive,10/11/2026,Alex223 Reed223,Recruiter,contact223@example.com,+17916156399
224,1a9c505d-c659-4c68-ac86-da86a5937b05,Employer 0224,Technology,Cloud/Software,Enterprise,San Jose,CA,USA,https://www.example224.com,https://www.linkedin.com/company/example-224,0,0,Sponsorship,Bronze,Prospect,06/12/2026,Alex224 Reed224,University Relations,contact224@example.com,+19115531254
225,71f19d4a-a0e2-48fc-80eb-822d82085a02,Employer 0225,Energy,Utilities,Medium,Dallas,TX,USA,https://www.example225.com,https://www.linkedin.com/company/example-225,0,0,None,Bronze,Active,01/04/2022,Alex225 Reed225,Talent Partner,contact225@example.com,+17203829425
226,6032ee1f-ff01-40ea-837b-49eab5dc3c9d,Employer 0226,Finance,Banking,Small,Boston,MA,USA,https://www.example226.com,https://www.linkedin.com/company/example-226,0,0,Academic,Bronze,Inactive,02/10/2024,Alex226 Reed226,Recruiter,contact226@example.com,+12287856565
227,a2d4abee-a1d0-4849-8094-861a27b5ed76,Employer 0227,Manufacturing,Industrial,Enterprise,New York,NY,USA,https://www.example227.com,https://www.linkedin.com/company/example-227,0,0,Donor,Bronze,Active,01/10/2023,Alex227 Reed227,HR Manager,contact227@example.com,+17223687042
228,59cb92d7-12cd-4125-b69a-5b862204f244,Employer 0228,Retail,E-commerce,Small,New York,NY,USA,https://www.example228.com,https://www.linkedin.com/company/example-228,0,0,Sponsorship,Bronze,Inactive,11/22/2026,Alex228 Reed228,Recruiter,contact228@example.com,+13353436903
229,67194acc-3712-45fc-90ca-6d59334720cc,Employer 0229,Consulting,IT Services,Enterprise,Seattle,WA,USA,https://www.example229.com,https://www.linkedin.com/company/example-229,0,0,Academic,Bronze,Prospect,11/08/2023,Alex229 Reed229,University Relations,contact229@example.com,+16339208557
230,e931fde6-3e5a-47b0-87aa-f34ed26c9065,Employer 0230,Energy,Utilities,Medium,St. Louis,MO,USA,https://www.example230.com,https://www.linkedin.com/company/example-230,0,0,Sponsorship,Bronze,Inactive,12/15/2020,Alex230 Reed230,Recruiter,contact230@example.com,+12025237522
231,fc23fd04-8eb7-4138-879c-d7b4a703a4f0,Employer 0231,Logistics,Supply Chain,Enterprise,Dublin,NA,Ireland,https://www.example231.com,https://www.linkedin.com/company/example-231,0,0,None,Silver,Prospect,07/30/2025,Alex231 Reed231,Talent Partner,contact231@example.com,+19545426921
232,f4512890-07e0-4b56-8add-3390ab69f34a,Employer 0232,Finance,Banking,Small,Bengaluru,NA,India,https://www.example232.com,https://www.linkedin.com/company/example-232,0,0,Donor,Bronze,Inactive,07/08/2022,Alex232 Reed232,Talent Partner,contact232@example.com,+19726745548
233,a35ece58-090a-490c-957e-b31afa25e77c,Employer 0233,Education,University,Small,Chicago,IL,USA,https://www.example233.com,https://www.linkedin.com/company/example-233,0,0,Academic,Silver,Inactive,06/11/2024,Alex233 Reed233,Talent Partner,contact233@example.com,+12109825545
234,b4586bcb-d104-4dfb-ae0a-60e0f5b1be5b,Employer 0234,Retail,E-commerce,Medium,Chicago,IL,USA,https://www.example234.com,https://www.linkedin.com/company/example-234,0,0,None,Gold,Prospect,08/31/2025,Alex234 Reed234,Talent Partner,contact234@example.com,+19185739650
235,4a730978-cfd1-4754-8897-d1a6a693a63b,Employer 0235,Energy,Utilities,Medium,Dallas,TX,USA,https://www.example235.com,https://www.linkedin.com/company/example-235,0,0,Mentorship,Bronze,Active,02/08/2025,Alex235 Reed235,HR Manager,contact235@example.com,+12169452759
236,f37771e3-c772-4bc2-83e6-2ddc1272b473,Employer 0236,Retail,E-commerce,Large,San Jose,CA,USA,https://www.example236.com,https://www.linkedin.com/company/example-236,0,0,Academic,Bronze,Inactive,02/17/2025,Alex236 Reed236,HR Manager,contact236@example.com,+17315348575
237,16d63802-f3d4-4d7d-bf8d-f0c8ba2c08a1,Employer 0237,Finance,Banking,Enterprise,San Jose,CA,USA,https://www.example237.com,https://www.linkedin.com/company/example-237,0,0,Academic,Silver,Active,11/03/2020,Alex237 Reed237,HR Manager,contact237@example.com,+14144501695
238,1cb495c2-f4e2-4ae6-8f34-79efafdaf723,Employer 0238,Energy,Utilities,Large,Dallas,TX,USA,https://www.example238.com,https://www.linkedin.com/company/example-238,0,0,Academic,Silver,Inactive,05/03/2025,Alex238 Reed238,Recruiter,contact238@example.com,+14457824703
239,e000c955-d7b5-4765-a1db-098e1c4b37d6,Employer 0239,Finance,Banking,Large,Dallas,TX,USA,https://www.example239.com,https://www.linkedin.com/company/example-239,0,0,None,Bronze,Inactive,02/08/2024,Alex239 Reed239,University Relations,contact239@example.com,+12233544289
240,b238ee93-78aa-427e-ab55-280e6e024c1d,Employer 0240,Technology,Cloud/Software,Enterprise,Bengaluru,NA,India,https://www.example240.com,https://www.linkedin.com/company/example-240,0,0,None,Gold,Inactive,05/21/2020,Alex240 Reed240,University Relations,contact240@example.com,+19068933153
241,33ecda88-65c3-47b4-8629-23a04540fd2f,Employer 0241,Consulting,IT Services,Enterprise,Dublin,NA,Ireland,https://www.example241.com,https://www.linkedin.com/company/example-241,0,0,Academic,Gold,Prospect,03/18/2022,Alex241 Reed241,HR Manager,contact241@example.com,+12959889054
242,f9a43cfa-f4c8-466f-b6ce-a90da705e6d6,Employer 0242,Government,Public Sector,Small,Toronto,ON,Canada,https://www.example242.com,https://www.linkedin.com/company/example-242,0,1,None,Bronze,Active,02/06/2023,Alex242 Reed242,Talent Partner,contact242@example.com,+16414297647
243,82507189-8a93-474b-83fc-440d0a54dc18,Employer 0243,Logistics,Supply Chain,Enterprise,Bengaluru,NA,India,https://www.example243.com,https://www.linkedin.com/company/example-243,0,0,Donor,Bronze,Inactive,02/04/2023,Alex243 Reed243,HR Manager,contact243@example.com,+19147677392
244,6b89b2cd-0711-4942-8007-8f363cae6d85,Employer 0244,Energy,Utilities,Large,San Jose,CA,USA,https://www.example244.com,https://www.linkedin.com/company/example-244,0,0,Sponsorship,Gold,Prospect,08/08/2026,Alex244 Reed244,University Relations,contact244@example.com,+13608288075
245,6b498228-8f91-4ab9-960f-d89050e8d04f,Employer 0245,Finance,Banking,Medium,Dallas,TX,USA,https://www.example245.com,https://www.linkedin.com/company/example-245,0,0,Donor,Bronze,Inactive,01/05/2025,Alex245 Reed245,HR Manager,contact245@example.com,+14106927702
246,5b34e5cc-0348-470d-ace0-cc2aede02b35,Employer 0246,Manufacturing,Industrial,Small,New York,NY,USA,https://www.example246.com,https://www.linkedin.com/company/example-246,0,0,Donor,Bronze,Inactive,06/27/2026,Alex246 Reed246,Recruiter,contact246@example.com,+14088822743
247,7fc03aea-00e7-4bcb-8393-7660110de3da,Employer 0247,Government,Public Sector,Medium,Austin,TX,USA,https://www.example247.com,https://www.linkedin.com/company/example-247,0,1,Sponsorship,Gold,Active,04/22/2022,Alex247 Reed247,HR Manager,contact247@example.com,+14047238343
248,188e8dab-835a-4fff-b0fc-0297755c3214,Employer 0248,Energy,Utilities,Small,Boston,MA,USA,https://www.example248.com,https://www.linkedin.com/company/example-248,0,0,Academic,Gold,Prospect,09/12/2023,Alex248 Reed248,HR Manager,contact248@example.com,+13219043169
249,0781537a-2cab-4f8d-9604-525121bd4fac,Employer 0249,Manufacturing,Industrial,Medium,Dallas,TX,USA,https://www.example249.com,https://www.linkedin.com/company/example-249,0,0,Donor,Bronze,Prospect,02/05/2023,Alex249 Reed249,HR Manager,contact249@example.com,+18375765758
250,afca1d71-9fb4-4ad0-8c92-2e9cafaecb47,Employer 0250,Healthcare,Provider,Medium,Toronto,ON,Canada,https://www.example250.com,https://www.linkedin.com/company/example-250,0,0,Academic,Silver,Inactive,11/23/2025,Alex250 Reed250,Talent Partner,contact250@example.com,+17164966206
251,7c0ef8ee-cf63-4114-9ec2-9c4d6fad940f,Employer 0251,Finance,Banking,Small,St. Louis,MO,USA,https://www.example251.com,https://www.linkedin.com/company/example-251,0,0,Hiring,Gold,Inactive,05/24/2022,Alex251 Reed251,HR Manager,contact251@example.com,+18013763250
252,9aa960f9-0f61-4c23-80cf-6332af040382,Employer 0252,Healthcare,Provider,Large,San Jose,CA,USA,https://www.example252.com,https://www.linkedin.com/company/example-252,0,0,Academic,Bronze,Prospect,06/26/2024,Alex252 Reed252,HR Manager,contact252@example.com,+19285088574
253,7bd708ad-8a84-495f-b014-97e46bdac387,Employer 0253,Education,University,Large,Dublin,NA,Ireland,https://www.example253.com,https://www.linkedin.com/company/example-253,0,1,Sponsorship,Silver,Inactive,01/05/2023,Alex253 Reed253,Talent Partner,contact253@example.com,+14368101203
254,d87f2530-db8a-48d4-bb26-9ba3fe874f1c,Employer 0254,Government,Public Sector,Medium,Chicago,IL,USA,https://www.example254.com,https://www.linkedin.com/company/example-254,0,1,Sponsorship,Silver,Inactive,10/12/2024,Alex254 Reed254,Recruiter,contact254@example.com,+15837989918
255,8022ecc1-d740-49ea-ae2b-f42cfde4cea4,Employer 0255,Consulting,IT Services,Small,Chicago,IL,USA,https://www.example255.com,https://www.linkedin.com/company/example-255,0,0,Hiring,Silver,Active,06/16/2026,Alex255 Reed255,Talent Partner,contact255@example.com,+19025793549
256,069729f1-93c0-4196-85f5-867332a64a62,Employer 0256,Retail,E-commerce,Large,Hyderabad,NA,India,https://www.example256.com,https://www.linkedin.com/company/example-256,0,0,Sponsorship,Gold,Prospect,12/19/2022,Alex256 Reed256,University Relations,contact256@example.com,+18198609336
257,15cced56-046f-4fb2-ad2e-28a3be5d968a,Employer 0257,Logistics,Supply Chain,Small,Bengaluru,NA,India,https://www.example257.com,https://www.linkedin.com/company/example-257,0,0,Sponsorship,Silver,Prospect,04/25/2024,Alex257 Reed257,HR Manager,contact257@example.com,+13224758496
258,8d0af2ea-d3d3-4f31-b7ce-a53c7daf402f,Employer 0258,Consulting,IT Services,Large,St. Louis,MO,USA,https://www.example258.com,https://www.linkedin.com/company/example-258,0,0,Donor,Bronze,Inactive,08/04/2025,Alex258 Reed258,HR Manager,contact258@example.com,+16456634459
259,08144d4e-b052-4d5b-b7e1-7616c837dbbe,Employer 0259,Government,Public Sector,Enterprise,Boston,MA,USA,https://www.example259.com,https://www.linkedin.com/company/example-259,0,1,None,Silver,Active,10/25/2022,Alex259 Reed259,University Relations,contact259@example.com,+13826521150
260,26a75901-1c5e-46c5-9446-82ecd21008db,Employer 0260,Government,Public Sector,Small,Chicago,IL,USA,https://www.example260.com,https://www.linkedin.com/company/example-260,0,1,None,Silver,Active,11/05/2020,Alex260 Reed260,HR Manager,contact260@example.com,+18599483420
261,69fe5f78-9dcc-4cb6-bef3-4972a15b0f84,Employer 0261,Healthcare,Provider,Enterprise,Austin,TX,USA,https://www.example261.com,https://www.linkedin.com/company/example-261,0,0,Mentorship,Silver,Inactive,06/28/2022,Alex261 Reed261,HR Manager,contact261@example.com,+15062601192
262,b82561cf-d65d-4790-bcf2-59ec5471f489,Employer 0262,Logistics,Supply Chain,Enterprise,Boston,MA,USA,https://www.example262.com,https://www.linkedin.com/company/example-262,0,0,Academic,Bronze,Inactive,01/09/2026,Alex262 Reed262,Talent Partner,contact262@example.com,+17196737206
263,fc42b01c-f4ac-4132-b8cb-8853545dbea8,Employer 0263,Manufacturing,Industrial,Medium,Bengaluru,NA,India,https://www.example263.com,https://www.linkedin.com/company/example-263,0,0,Mentorship,Bronze,Prospect,02/07/2022,Alex263 Reed263,HR Manager,contact263@example.com,+13569169897
264,476c769e-5d31-4598-a4ca-4ba85afa0fec,Employer 0264,Education,University,Enterprise,Toronto,ON,Canada,https://www.example264.com,https://www.linkedin.com/company/example-264,0,0,Mentorship,Silver,Inactive,09/10/2021,Alex264 Reed264,HR Manager,contact264@example.com,+19384509925
265,5937f70c-18b3-46b9-ba9d-38f6bd3dd0e0,Employer 0265,Healthcare,Provider,Large,Boston,MA,USA,https://www.example265.com,https://www.linkedin.com/company/example-265,0,0,Academic,Silver,Active,10/05/2020,Alex265 Reed265,University Relations,contact265@example.com,+18075198121
266,0e79fc85-ba5d-4020-96b8-8a384e28ee60,Employer 0266,Finance,Banking,Large,Chicago,IL,USA,https://www.example266.com,https://www.linkedin.com/company/example-266,0,0,Mentorship,Gold,Prospect,07/18/2021,Alex266 Reed266,Recruiter,contact266@example.com,+14316717559
267,807034d9-011a-41bd-a9af-f7eb1a403aca,Employer 0267,Finance,Banking,Small,Dallas,TX,USA,https://www.example267.com,https://www.linkedin.com/company/example-267,0,0,Donor,Gold,Prospect,12/23/2020,Alex267 Reed267,Recruiter,contact267@example.com,+16412421893
268,56ec42cb-8a00-4a7b-9303-37219736e98c,Employer 0268,Technology,Cloud/Software,Large,Chicago,IL,USA,https://www.example268.com,https://www.linkedin.com/company/example-268,0,0,Mentorship,Silver,Active,01/09/2024,Alex268 Reed268,Talent Partner,contact268@example.com,+12715384593
269,b0b63624-9bf5-4c62-8fce-1e3610f72448,Employer 0269,Consulting,IT Services,Large,Seattle,WA,USA,https://www.example269.com,https://www.linkedin.com/company/example-269,0,0,Mentorship,Gold,Inactive,11/12/2022,Alex269 Reed269,Talent Partner,contact269@example.com,+18944989134
